new_event_id,date,daily_eps,daily_minpts,workbook_n_clusters,reproduced_n_clusters,match
46,2024-05-24,3.647058823529412,11,2,2,1
46,2024-05-25,3.647058823529412,11,1,1,1
46,2024-05-26,3.647058823529412,11,1,1,1
46,2024-05-27,3.647058823529412,11,1,1,1
46,2024-05-28,3.647058823529412,11,1,1,1
46,2024-05-29,3.647058823529412,11,1,1,1
46,2024-05-30,3.647058823529412,11,1,1,1
46,2024-05-31,3.647058823529412,11,1,1,1
46,2024-06-01,3.647058823529412,11,1,1,1
46,2024-06-02,3.647058823529412,11,1,1,1
46,2024-06-03,3.647058823529412,11,2,2,1
46,2024-06-04,3.647058823529412,11,1,1,1
46,2024-06-05,3.647058823529412,11,1,1,1
46,2024-06-06,3.647058823529412,11,1,1,1
46,2024-06-07,3.647058823529412,11,1,1,1
46,2024-06-08,3.647058823529412,11,1,1,1
46,2024-06-09,3.647058823529412,11,1,1,1
46,2024-06-10,3.647058823529412,11,4,4,1
46,2024-06-11,3.647058823529412,11,5,5,1
46,2024-06-12,3.647058823529412,11,5,5,1
46,2024-06-13,3.647058823529412,11,2,2,1
46,2024-06-14,3.647058823529412,11,1,1,1
46,2024-06-15,3.647058823529412,11,1,1,1
46,2024-06-16,3.647058823529412,11,1,1,1
46,2024-06-17,3.647058823529412,11,3,3,1
46,2024-06-18,3.647058823529412,11,3,3,1
46,2024-06-19,3.647058823529412,11,2,2,1
46,2024-06-20,3.647058823529412,11,2,2,1
46,2024-06-21,3.647058823529412,11,2,2,1
46,2024-06-22,3.647058823529412,11,2,2,1
46,2024-06-23,3.647058823529412,11,3,3,1
46,2024-06-24,3.647058823529412,11,3,3,1
46,2024-06-25,3.647058823529412,11,3,3,1
46,2024-06-26,3.647058823529412,11,4,4,1
46,2024-06-27,3.647058823529412,11,4,4,1
46,2024-06-28,3.647058823529412,11,3,3,1
47,2024-07-08,3.6176470588235294,10,4,4,1
47,2024-07-09,3.6176470588235294,10,2,2,1
47,2024-07-10,3.6176470588235294,10,2,2,1
47,2024-07-11,3.6176470588235294,10,2,2,1
47,2024-07-12,3.6176470588235294,10,1,1,1
47,2024-07-13,3.6176470588235294,10,1,1,1
47,2024-07-14,3.6176470588235294,10,1,1,1
47,2024-07-15,3.6176470588235294,10,2,2,1
47,2024-07-16,3.6176470588235294,10,2,2,1
47,2024-07-17,3.6176470588235294,10,3,3,1
47,2024-07-18,3.6176470588235294,10,2,2,1
47,2024-07-19,3.6176470588235294,10,2,2,1
47,2024-07-20,3.6176470588235294,10,3,3,1
47,2024-07-21,3.6176470588235294,10,1,1,1
47,2024-07-22,3.6176470588235294,10,1,1,1
47,2024-07-23,3.6176470588235294,10,1,1,1
47,2024-07-24,3.6176470588235294,10,1,1,1
47,2024-07-25,3.6176470588235294,10,2,2,1
47,2024-07-26,3.6176470588235294,10,3,3,1
47,2024-07-27,3.6176470588235294,10,4,4,1
47,2024-07-28,3.6176470588235294,10,3,3,1
47,2024-07-29,3.6176470588235294,10,2,2,1
48,2024-08-05,3.6176470588235294,9,2,2,1
48,2024-08-06,3.6176470588235294,9,2,2,1
48,2024-08-07,3.6176470588235294,9,2,2,1
48,2024-08-08,3.6176470588235294,9,2,2,1
48,2024-08-09,3.6176470588235294,9,2,2,1
48,2024-08-10,3.6176470588235294,9,2,2,1
48,2024-08-11,3.6176470588235294,9,1,1,1
48,2024-08-12,3.6176470588235294,9,2,2,1
48,2024-08-13,3.6176470588235294,9,1,1,1
48,2024-08-14,3.6176470588235294,9,1,1,1
48,2024-08-15,3.6176470588235294,9,1,1,1
48,2024-08-16,3.6176470588235294,9,3,3,1
48,2024-08-17,3.6176470588235294,9,1,1,1
48,2024-08-18,3.6176470588235294,9,2,2,1
48,2024-08-19,3.6176470588235294,9,1,1,1
48,2024-08-20,3.6176470588235294,9,1,1,1
48,2024-08-21,3.6176470588235294,9,1,1,1
48,2024-08-22,3.6176470588235294,9,1,1,1
48,2024-08-23,3.6176470588235294,9,2,2,1
49,2025-06-14,3.3793103448275863,7,3,3,1
49,2025-06-15,3.3793103448275863,7,4,4,1
50,2025-07-14,3.647058823529412,10,1,1,1
50,2025-07-15,3.647058823529412,10,1,1,1
50,2025-07-16,3.647058823529412,10,1,1,1
50,2025-07-17,3.647058823529412,10,1,1,1
50,2025-07-18,3.647058823529412,10,1,1,1
