date,method,eps,min_samples,n_components,n_noise
1987-07-26,A,3.0,10,1,11
1987-07-26,A,3.0,11,1,11
1987-07-26,A,3.0,12,1,14
1987-07-26,A,3.5,4,2,1
1987-07-26,A,3.5,5,2,1
1987-07-26,A,3.5,6,1,6
1987-07-26,A,3.5,7,1,6
1987-07-26,A,3.5,8,1,6
1987-07-26,A,3.5,9,1,7
1987-07-26,A,3.5,10,1,7
1987-07-26,A,3.5,11,1,9
1987-07-26,A,3.5,12,1,9
1987-07-26,A,4.0,4,2,1
1987-07-26,A,4.0,5,2,1
1987-07-26,A,4.0,6,1,6
1987-07-26,A,4.0,7,1,6
1987-07-26,A,4.0,8,1,6
1987-07-26,A,4.0,9,1,6
1987-07-26,A,4.0,10,1,6
1987-07-26,A,4.0,11,1,6
1987-07-26,A,4.0,12,1,7
1987-07-27,A,1.0,4,3,18
1987-07-27,A,1.0,5,6,50
1987-07-27,A,1.0,6,0,507
1987-07-27,A,1.0,7,0,507
1987-07-27,A,1.0,8,0,507
1987-07-27,A,1.0,9,0,507
1987-07-27,A,1.0,10,0,507
1987-07-27,A,1.0,11,0,507
1987-07-27,A,1.0,12,0,507
1987-07-27,A,1.5,4,3,8
1987-07-27,A,1.5,5,2,14
1987-07-27,A,1.5,6,2,18
1987-07-27,A,1.5,7,4,24
1987-07-27,A,1.5,8,4,30
1987-07-27,A,1.5,9,6,63
1987-07-27,A,1.5,10,0,507
1987-07-27,A,1.5,11,0,507
1987-07-27,A,1.5,12,0,507
1987-07-27,A,2.0,4,1,5
1987-07-27,A,2.0,5,1,9
1987-07-27,A,2.0,6,1,9
1987-07-27,A,2.0,7,2,9
1987-07-27,A,2.0,8,2,12
1987-07-27,A,2.0,9,4,14
1987-07-27,A,2.0,10,3,25
1987-07-27,A,2.0,11,3,36
1987-07-27,A,2.0,12,3,66
1987-07-27,A,2.5,4,1,4
1987-07-27,A,2.5,5,1,4
1987-07-27,A,2.5,6,1,4
1987-07-27,A,2.5,7,1,7
1987-07-27,A,2.5,8,1,7
1987-07-27,A,2.5,9,1,7
1987-07-27,A,2.5,10,1,8
1987-07-27,A,2.5,11,2,11
1987-07-27,A,2.5,12,2,12
1987-07-27,A,3.0,4,1,2
1987-07-27,A,3.0,5,1,2
1987-07-27,A,3.0,6,1,3
1987-07-27,A,3.0,7,1,3
1987-07-27,A,3.0,8,1,3
1987-07-27,A,3.0,9,1,5
1987-07-27,A,3.0,10,1,5
1987-07-27,A,3.0,11,1,5
1987-07-27,A,3.0,12,1,5
1987-07-27,A,3.5,4,1,1
1987-07-27,A,3.5,5,1,1
1987-07-27,A,3.5,6,1,1
1987-07-27,A,3.5,7,1,1
1987-07-27,A,3.5,8,1,2
1987-07-27,A,3.5,9,1,3
1987-07-27,A,3.5,10,1,5
1987-07-27,A,3.5,11,1,5
1987-07-27,A,3.5,12,1,5
1987-07-27,A,4.0,4,1,1
1987-07-27,A,4.0,5,1,1
1987-07-27,A,4.0,6,1,1
1987-07-27,A,4.0,7,1,1
1987-07-27,A,4.0,8,1,1
1987-07-27,A,4.0,9,1,1
1987-07-27,A,4.0,10,1,2
1987-07-27,A,4.0,11,1,2
1987-07-27,A,4.0,12,1,3
1991-06-04,A,1.0,4,4,14
1991-06-04,A,1.0,5,5,53
1991-06-04,A,1.0,6,0,376
1991-06-04,A,1.0,7,0,376
1991-06-04,A,1.0,8,0,376
1991-06-04,A,1.0,9,0,376
1991-06-04,A,1.0,10,0,376
1991-06-04,A,1.0,11,0,376
1991-06-04,A,1.0,12,0,376
1991-06-04,A,1.5,4,3,2
1991-06-04,A,1.5,5,3,10
1991-06-04,A,1.5,6,3,13
1991-06-04,A,1.5,7,4,21
1991-06-04,A,1.5,8,3,47
1991-06-04,A,1.5,9,3,73
1991-06-04,A,1.5,10,0,376
1991-06-04,A,1.5,11,0,376
1991-06-04,A,1.5,12,0,376
1991-06-04,A,2.0,4,3,1
1991-06-04,A,2.0,5,3,1
1991-06-04,A,2.0,6,2,7
1991-06-04,A,2.0,7,3,8
1991-06-04,A,2.0,8,3,10
1991-06-04,A,2.0,9,2,24
1991-06-04,A,2.0,10,3,34
1991-06-04,A,2.0,11,3,47
1991-06-04,A,2.0,12,4,60
1991-06-04,A,2.5,4,3,1
1991-06-04,A,2.5,5,3,1
1991-06-04,A,2.5,6,3,1
1991-06-04,A,2.5,7,2,7
1991-06-04,A,2.5,8,2,7
1991-06-04,A,2.5,9,2,8
1991-06-04,A,2.5,10,2,9
1991-06-04,A,2.5,11,2,13
1991-06-04,A,2.5,12,2,13
1991-06-04,A,3.0,4,2,1
1991-06-04,A,3.0,5,2,1
1991-06-04,A,3.0,6,2,1
1991-06-04,A,3.0,7,2,6
1991-06-04,A,3.0,8,2,6
1991-06-04,A,3.0,9,2,6
1991-06-04,A,3.0,10,2,6
1991-06-04,A,3.0,11,2,7
1991-06-04,A,3.0,12,2,7
1991-06-04,A,3.5,4,2,1
1991-06-04,A,3.5,5,2,1
1991-06-04,A,3.5,6,2,1
1991-06-04,A,3.5,7,2,1
1991-06-04,A,3.5,8,2,5
1991-06-04,A,3.5,9,2,5
1991-06-04,A,3.5,10,2,5
1991-06-04,A,3.5,11,2,5
1991-06-04,A,3.5,12,2,5
1991-06-04,A,4.0,4,2,1
1991-06-04,A,4.0,5,2,1
1991-06-04,A,4.0,6,2,1
1991-06-04,A,4.0,7,2,1
1991-06-04,A,4.0,8,2,1
1991-06-04,A,4.0,9,2,2
1991-06-04,A,4.0,10,2,2
1991-06-04,A,4.0,11,2,4
1991-06-04,A,4.0,12,2,4
1991-06-05,A,1.0,4,3,14
1991-06-05,A,1.0,5,6,47
1991-06-05,A,1.0,6,0,374
1991-06-05,A,1.0,7,0,374
1991-06-05,A,1.0,8,0,374
1991-06-05,A,1.0,9,0,374
1991-06-05,A,1.0,10,0,374
1991-06-05,A,1.0,11,0,374
1991-06-05,A,1.0,12,0,374
1991-06-05,A,1.5,4,3,2
1991-06-05,A,1.5,5,2,8
1991-06-05,A,1.5,6,2,11
1991-06-05,A,1.5,7,4,13
1991-06-05,A,1.5,8,3,47
1991-06-05,A,1.5,9,3,68
1991-06-05,A,1.5,10,0,374
1991-06-05,A,1.5,11,0,374
1991-06-05,A,1.5,12,0,374
1991-06-05,A,2.0,4,3,1
1991-06-05,A,2.0,5,3,1
1991-06-05,A,2.0,6,2,7
1991-06-05,A,2.0,7,2,8
1991-06-05,A,2.0,8,2,10
1991-06-05,A,2.0,9,3,13
1991-06-05,A,2.0,10,3,30
1991-06-05,A,2.0,11,3,40
1991-06-05,A,2.0,12,3,58
1991-06-05,A,2.5,4,2,1
1991-06-05,A,2.5,5,2,1
1991-06-05,A,2.5,6,2,1
1991-06-05,A,2.5,7,2,5
1991-06-05,A,2.5,8,2,7
1991-06-05,A,2.5,9,2,7
1991-06-05,A,2.5,10,2,7
1991-06-05,A,2.5,11,2,8
1991-06-05,A,2.5,12,2,8
1991-06-05,A,3.0,4,2,1
1991-06-05,A,3.0,5,2,1
1991-06-05,A,3.0,6,2,1
1991-06-05,A,3.0,7,2,3
1991-06-05,A,3.0,8,2,5
1991-06-05,A,3.0,9,2,6
1991-06-05,A,3.0,10,2,6
1991-06-05,A,3.0,11,2,6
1991-06-05,A,3.0,12,2,6
1991-06-05,A,3.5,4,2,1
1991-06-05,A,3.5,5,2,1
1991-06-05,A,3.5,6,2,1
1991-06-05,A,3.5,7,2,1
1991-06-05,A,3.5,8,2,1
1991-06-05,A,3.5,9,2,4
1991-06-05,A,3.5,10,2,4
1991-06-05,A,3.5,11,2,4
1991-06-05,A,3.5,12,2,5
1991-06-05,A,4.0,4,2,1
1991-06-05,A,4.0,5,2,1
1991-06-05,A,4.0,6,2,1
1991-06-05,A,4.0,7,2,1
1991-06-05,A,4.0,8,2,1
1991-06-05,A,4.0,9,2,1
1991-06-05,A,4.0,10,2,2
1991-06-05,A,4.0,11,2,2
1991-06-05,A,4.0,12,2,3
1998-05-24,A,1.0,4,4,18
1998-05-24,A,1.0,5,5,46
1998-05-24,A,1.0,6,0,374
1998-05-24,A,1.0,7,0,374
1998-05-24,A,1.0,8,0,374
1998-05-24,A,1.0,9,0,374
1998-05-24,A,1.0,10,0,374
1998-05-24,A,1.0,11,0,374
1998-05-24,A,1.0,12,0,374
1998-05-24,A,1.5,4,3,8
1998-05-24,A,1.5,5,3,16
1998-05-24,A,1.5,6,4,18
1998-05-24,A,1.5,7,4,24
1998-05-24,A,1.5,8,4,27
1998-05-24,A,1.5,9,4,49
1998-05-24,A,1.5,10,0,374
1998-05-24,A,1.5,11,0,374
1998-05-24,A,1.5,12,0,374
1998-05-24,A,2.0,4,3,4
