centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km
152,18,18,2010-07-16,3,Temporally clustered,53.81029445907816,28.675044707850663,859.7421748692955,105.91396709217464
153,18,18,2010-07-17,3,Temporally clustered,24.827511825012472,37.64749362036788,-1769.428174010038,1227.3336780093484
154,18,18,2010-07-17,3,Temporally clustered,28.184280803265437,23.49529913657882,-1709.1768394947762,-385.3487672150898
155,18,18,2010-07-17,3,Temporally clustered,33.308085428875344,43.70614831804012,-948.1734460497637,1788.299753930858
156,18,18,2010-07-17,3,Temporally clustered,54.20384649765305,27.815027171701825,905.2347717576945,13.478617585752477
157,18,18,2010-07-17,3,Temporally clustered,49.421402674818985,42.62734977357128,365.57732911642756,1625.670132135131
158,18,18,2010-07-18,3,Temporally clustered,26.54271288014977,23.251374949845587,-1877.4767150153516,-389.065737165004
159,18,18,2010-07-18,3,Temporally clustered,24.43969316433935,37.57872822175788,-1804.33839773269,1225.9559835167363
160,18,18,2010-07-18,3,Temporally clustered,33.290312011527284,43.71509488579289,-949.4732318793334,1789.4364488055357
161,18,18,2010-07-18,3,Temporally clustered,53.27746632644016,28.264956400730306,811.017763435357,56.82975669715662
162,19,19,2010-08-01,3,Temporally clustered,38.5879903843515,36.70845280441804,-574.0976498481465,980.8138695634414
163,19,19,2010-08-01,3,Temporally clustered,48.84211767802019,21.302933686040006,399.17968727046036,-735.5341040693842
164,19,19,2010-08-02,3,Temporally clustered,38.08911984860139,36.589470257823166,-619.5704019454855,970.2622915510485
165,19,19,2010-08-02,3,Temporally clustered,48.47330519338966,21.24771137062738,361.02505773303307,-742.7188031013743
166,19,19,2010-08-03,3,Temporally clustered,37.75407444170599,36.81970819414256,-647.699467669909,997.5717325148271
167,19,19,2010-08-03,3,Temporally clustered,46.27612528599974,19.472620690669125,134.33099223206946,-943.0012094399675
168,19,19,2010-08-03,3,Temporally clustered,54.2380413570318,25.658406485996483,926.0927271189084,-225.16848215562914
169,20,20,2010-08-05,4,Mixed,38.20134583477368,36.43070686048932,-610.7142528758955,952.1056304392421
170,20,20,2010-08-05,4,Mixed,45.8453657097263,19.184167439525947,89.16166848081791,-975.2096498251229
171,20,20,2010-08-05,4,Mixed,54.85059463755709,25.984605875189917,984.5058771003348,-184.3406445134749
172,20,20,2010-08-05,4,Mixed,64.60577990216305,44.39954232682509,1562.5516230994926,1956.6282764623882
173,20,20,2010-08-06,4,Mixed,40.809264935257616,36.91282142907324,-374.4809290351529,994.1955158413979
174,20,20,2010-08-06,4,Mixed,45.51596369268708,18.78000398691805,54.5659524580594,-1019.9941721678338
175,20,20,2010-08-06,4,Mixed,54.04173267044508,26.310667221370583,901.3975027861449,-154.36171959766054
176,20,20,2010-08-07,4,Mixed,41.004390462322014,36.17433634920638,-360.2939306850471,911.8815483170677
177,20,20,2010-08-07,4,Mixed,46.08185437248409,17.406533413474275,115.42144076465422,-1171.1092742984417
178,20,20,2010-08-07,4,Mixed,53.53415160237167,23.61023581979485,870.2762527569953,-456.9908590557223
179,20,20,2010-08-08,4,Mixed,40.88497839231069,36.458985697443175,-369.77453919819885,943.7520063114684
