centroid_id,new_event_id,event_id,date,v3_type,event_type_name,centroid_lon,centroid_lat,x_km,y_km,nearest_grid_id,nearest_grid_lon,nearest_grid_lat,mean_tmax,std_tmax,cv_tmax,mean_tmax_z,cv_tmax_z,nearest_grid_dist_km
77,10,10,2001-08-10,4,Mixed,51.71680449034683,38.50276773203843,587.8317479354798,1180.6409778714226,1432,51.5,38.5,22.54771741558506,5.081720093723756,0.22537625428156438,-1.3645164795580775,1.0402519861196144,18.967079057824822
78,10,10,2001-08-11,4,Mixed,37.43062122437205,33.17955403746269,-705.8156694622352,596.7361242799699,1168,37.5,33.5,32.05338064684076,5.3200387062847305,0.16597434027006708,0.2270330580322344,0.28790937477235,36.17844400439118
79,10,10,2001-08-12,4,Mixed,39.87945871618216,32.11686247174234,-483.3040739234132,466.6906358026659,1120,39.5,32.5,32.45086693251689,5.354480651119233,0.1650026996891679,0.29358487022838003,0.2756032626867499,55.43193498195696
80,11,11,2002-07-16,4,Mixed,27.802712911067047,36.55547055190488,-1533.3631712801082,1063.7415228072384,1308,27.5,36.5,22.547099934067838,3.5156087282805766,0.15592287870994093,-1.364619865550122,0.16060467485075663,27.736437446430955
81,11,11,2002-07-16,4,Mixed,43.56598806288703,22.7293196423725,-147.44747920416071,-582.87450672478,624,43.5,22.5,37.78905544906366,3.5013520648440792,0.0926551887374797,1.1873669513296907,-0.6406991194777861,26.25667487261929
82,11,11,2002-07-16,4,Mixed,58.94330466261413,40.04118081178802,1191.0440717797273,1407.8715491032399,1539,58.5,40.5,31.529886762498066,6.888314843813977,0.21846938099400348,0.13938357695053338,0.9527744162150071,64.05270052416395
83,11,11,2002-07-17,4,Mixed,29.86586992060762,35.2273746910096,-1373.313687375243,891.0876058332889,1260,29.5,35.5,23.37129977564752,3.7036275425325127,0.15846904442993912,-1.226622669054148,0.19285260824791217,44.624519857970824
84,11,11,2002-07-17,4,Mixed,59.04206448889688,38.65522178651602,1221.940129016141,1256.4603743457078,1440,59.5,38.5,33.54099775302939,6.615578535266573,0.19723857304361378,0.4761073477336579,0.6838800251804541,43.69994499677032
85,11,11,2002-07-18,4,Mixed,46.06924804685561,34.43107287561349,98.4431367038021,713.0773287168529,1227,46.5,34.5,29.2349802983854,6.7330514012679155,0.2303080533165186,-0.24485655789474914,1.102714663060954,40.36123541427325
86,11,11,2002-07-19,4,Mixed,45.38080818436792,32.48894861445038,35.821459798493905,497.5430590757634,1126,45.5,32.5,40.85578879250824,5.711264125452841,0.13979081775799956,1.700835387558654,-0.04371259446564461,11.277647484380838
